entity_type,category,zone,category1,BOQ name,qty_type,qty_value,length (ft),width (ft),perimeter,area (ft2),Description,Preview,remarks
LAYER_SUMMARY,ANTI STATIC FLOORING,,,,layer,,235.64,15.95,503.18,3758.64,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,BLOCK WALL PARTITION,,,,layer,,11.02,,,,,,OPEN length only
LAYER_SUMMARY,BLOCK WALL PARTITION,,,,layer,,300.88,1.93,605.61,579.89,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CARPET FLOORING,,,,layer,,134.00,8.96,285.91,1200.27,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING PROFILE,,,,layer,,20.37,,,,,,OPEN length only
LAYER_SUMMARY,CEILING PROFILE,,,,layer,,54.68,0.72,110.79,39.13,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING-GYPSUM,,,,layer,,412.86,13.24,852.20,5466.48,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Disturbance_Pillar,,,,layer,,1.51,,,,,,OPEN length only
LAYER_SUMMARY,Disturbance_Pillar,,,,layer,,44.00,0.65,89.30,28.76,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FACADE WALL,,,,layer,,105.67,0.69,212.71,72.78,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,GLASS BOARD,,,,layer,,17.10,0.03,34.27,0.58,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,GLASS FASCADE PARTITION,,,,layer,,9.98,0.05,20.06,0.51,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,GLASS PARTITION,,,,layer,,31.80,0.25,64.10,7.84,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,GYPSUM FALSE CEILING,,,,layer,,214.87,,,,,,OPEN length only
LAYER_SUMMARY,GYPSUM FALSE CEILING,,,,layer,,52.67,4.47,114.27,235.19,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,GYPSUM PARTITION,,,,layer,,36.83,,,,,,OPEN length only
LAYER_SUMMARY,GYPSUM PARTITION 1,,,,layer,,42.62,0.25,85.74,10.65,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,LIGHT PROFILE,,,,layer,,36.14,4.54,81.36,164.03,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,MARBLE PARTITION,,,,layer,,2.86,0.12,5.97,0.35,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,OVERHEAD STORAGE,,,,layer,,17.95,1.57,39.06,28.25,,,CLOSED (rectangle): length/width + perimeter & area
INSERT,PLANNER,,2 seater sofa,2 SEATER SOFA,count,5.00,105.17,2.67,,,,,aggregated 5 inserts
INSERT,PLANNER,,aluminium door,Door_Aluminium,count,3.00,2.02,1.99,,,,,aggregated 3 inserts
INSERT,PLANNER,,center table,cxz,count,1.00,2.42,0.18,,,,,aggregated 1 inserts
INSERT,PLANNER,,decoratives,Fridge,count,1.00,2.10,1.96,,,,,aggregated 1 inserts
INSERT,PLANNER,,glass door,GLASS DOOR,count,4.00,3.01,2.97,,,,,aggregated 4 inserts
INSERT,PLANNER,,high back chair,DiningChair,count,9.00,102.15,2.01,,,,,aggregated 9 inserts
INSERT,PLANNER,,high back chair,LoungeChair,count,1.00,117.00,2.86,,,,,aggregated 1 inserts
INSERT,PLANNER,,high back chair,MEETING ROOM TABLE - 6 SEATER - RECTANGLE,count,5.00,37.20,2.22,,,,,aggregated 5 inserts
